run_key,domain,run_id,asset_count,asset_ids,path,run_kind,descriptor_path,recipe_path,result_state,qa_state,selection_state,selection_authority,inputs_state,outputs_state,provenance_state,legacy,notes
animations-pack:OH6000,animations,release-pack-oh6000,1,animations:pack:OH6000,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/OH6000,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/OH6000/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/OH6000/qa-approval.json
animations-pack:OH6100,animations,release-pack-oh6100,1,animations:pack:OH6100,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/OH6100,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/OH6100/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/OH6100/qa-approval.json
animations-pack:OH6400,animations,release-pack-oh6400,1,animations:pack:OH6400,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/OH6400,area-animation-release-pack,animations/packs-par-zone/combined-20260901-chimsmk-dstdvl-butterfly-xbr2x-nearest2-30fps-v3-opaque-rgb-dilate-blend-safe-zero-candidate/OH6400/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v3; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/OH6400/qa-approval.json
animations-pack:OH7300,animations,release-pack-oh7300,1,animations:pack:OH7300,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/OH7300,area-animation-release-pack,animations/packs-par-zone/combined-20260904-fpit1s-contour-fondu-J/OH7300/manifest.json,,approved-for-release,approved,release-candidate,releases/BG2-HD-Upscale/manifests/animation-release-candidates.json,documented,present,verified,no,registre v2; QA: releases/BG2-HD-Upscale/manifests/animation-qa-approvals/OH7300/qa-v2-76e823565f124dc4.json
animations:1400T005-nightlight-x4,animations,1400T005-nightlight-x4,1,animations:bam:1400T005,animations/runs/1400T005-nightlight-x4,animation-prototype,animations/runs/1400T005-nightlight-x4/manifest.json,,prototype-pending-ingame-qa,not-assessed,historical,,documented,present,partial,yes,layout=legacy; Migré depuis proto; rôle historique: rejected-experiment
animations:am0033ab-apo8-x4-30fps-v2,animations,am0033ab-apo8-x4-30fps-v2,1,animations:bam:AM0033AB,animations/runs/am0033ab-apo8-x4-30fps-v2,area-animation,animations/runs/am0033ab-apo8-x4-30fps-v2/manifest.json,request.json,completed,preview-accepted,historical,,documented,present,verified,no,layout=legacy; qa-approval.json = revue/preview du run; aucune preuve de QA ingame
animations:am0033ab-seedvr7b-lab-x4,animations,am0033ab-seedvr7b-lab-x4,1,animations:bam:AM0033AB,animations/runs/am0033ab-seedvr7b-lab-x4,area-animation,animations/runs/am0033ab-seedvr7b-lab-x4/manifest.json,,completed,not-assessed,historical,,documented,present,partial,no,layout=legacy
animations:AM0033AB-spline-contour-x4,animations,AM0033AB-spline-contour-x4,1,animations:bam:AM0033AB,animations/runs/AM0033AB-spline-contour-x4,animation-prototype,animations/runs/AM0033AB-spline-contour-x4/manifest.json,,validated-prototype-installed,not-assessed,canonical-prototype,animations/index/animation_alpha_corrections.csv,documented,present,partial,yes,layout=legacy; Migré depuis proto; rôle historique: canonical-prototype
animations:am0033ab-spline-fit1-30fps-v2,animations,am0033ab-spline-fit1-30fps-v2,1,animations:bam:AM0033AB,animations/runs/am0033ab-spline-fit1-30fps-v2,area-animation,animations/runs/am0033ab-spline-fit1-30fps-v2/manifest.json,,completed,pending-explicit-user-approval,historical,,documented,present,partial,no,layout=legacy
animations:am0033ab-spline-fit1-feather6-30fps-v2,animations,am0033ab-spline-fit1-feather6-30fps-v2,1,animations:bam:AM0033AB,animations/runs/am0033ab-spline-fit1-feather6-30fps-v2,area-animation,animations/runs/am0033ab-spline-fit1-feather6-30fps-v2/manifest.json,,completed,pending-explicit-user-approval,historical,,documented,present,partial,no,layout=legacy
animations:am0205-a-c-d-apo8-x4-30fps-v2,animations,am0205-a-c-d-apo8-x4-30fps-v2,3,animations:bam:AM0205A | animations:bam:AM0205C | animations:bam:AM0205D,animations/runs/am0205-a-c-d-apo8-x4-30fps-v2,area-animation,animations/runs/am0205-a-c-d-apo8-x4-30fps-v2/manifest.json,request.json,completed,preview-accepted,historical,,documented,present,verified,no,layout=legacy; qa-approval.json = revue/preview du run; aucune preuve de QA ingame
animations:AM0205A-pod-canvas-feather-x4,animations,AM0205A-pod-canvas-feather-x4,1,animations:bam:AM0205A,animations/runs/AM0205A-pod-canvas-feather-x4,animation-prototype,animations/runs/AM0205A-pod-canvas-feather-x4/manifest.json,,completed,not-assessed,canonical-prototype,animations/index/animation_alpha_corrections.csv,documented,present,partial,yes,layout=legacy; Migré depuis proto; rôle historique: canonical-prototype
animations:AM0205A-pod-interpolation-x4,animations,AM0205A-pod-interpolation-x4,1,animations:bam:AM0205A,animations/runs/AM0205A-pod-interpolation-x4,animation-prototype,,,unknown,not-assessed,historical,,unknown,present,partial,yes,layout=legacy; Migré depuis proto; rôle historique: historical-base-run
animations:am0205b-apo8-x4-30fps-v2,animations,am0205b-apo8-x4-30fps-v2,1,animations:bam:AM0205B,animations/runs/am0205b-apo8-x4-30fps-v2,area-animation,animations/runs/am0205b-apo8-x4-30fps-v2/manifest.json,request.json,completed,preview-accepted,historical,,documented,present,verified,no,layout=legacy; qa-approval.json = revue/preview du run; aucune preuve de QA ingame
animations:AM0205B-pod-canvas-feather-x4,animations,AM0205B-pod-canvas-feather-x4,1,animations:bam:AM0205B,animations/runs/AM0205B-pod-canvas-feather-x4,animation-prototype,animations/runs/AM0205B-pod-canvas-feather-x4/manifest.json,,completed,not-assessed,canonical-prototype,animations/index/animation_alpha_corrections.csv,documented,present,partial,yes,layout=legacy; Migré depuis proto; rôle historique: canonical-prototype
animations:AM0205C-pod-canvas-feather-x4,animations,AM0205C-pod-canvas-feather-x4,1,animations:bam:AM0205C,animations/runs/AM0205C-pod-canvas-feather-x4,animation-prototype,animations/runs/AM0205C-pod-canvas-feather-x4/manifest.json,,completed,not-assessed,canonical-prototype,animations/index/animation_alpha_corrections.csv,documented,present,partial,yes,layout=legacy; Migré depuis proto; rôle historique: canonical-prototype
