asset_key,resref,format,container_version,frame_count,cycle_count,width,height,source_bif,locator,source_size,source_sha256,extracted_path
ui-resource:bam:TOOLSCRL,TOOLSCRL,BAM,V1,7,3,,,data/GUIBam.bif,0x00C00097,8439,8FCF3B6EFD4516AA58F92D00000605B7D6FD4844FD9B0B8F7E02B9EA75F8108A,interface/source/bam/TOOLSCRL.bam
ui-resource:bam:TOOLTIP,TOOLTIP,BAM,V1,255,255,,,data/GUIBam.bif,0x00C00098,9921,3F31E9CFEEE4A19FEFF36053ACB20FD4796FEF5BF79AA6D2861A8757590FEA3D,interface/source/bam/TOOLTIP.bam
ui-resource:bam:TVRNQUL0,TVRNQUL0,BAM,V2,1,1,,,data/GUIBam.bif,0x00C00099,132,4E37FC073DC0F86B44ED95516183E77130D05C823C6AFFAFB7E43D6E144EB8CB,interface/source/bam/TVRNQUL0.bam
ui-resource:bam:TVRNQUL1,TVRNQUL1,BAM,V2,1,1,,,data/GUIBam.bif,0x00C0009A,132,CF20B9265686C30FBABFB55361C377651B2499F027867E83B6CDA952793D011F,interface/source/bam/TVRNQUL1.bam
ui-resource:bam:TVRNQUL2,TVRNQUL2,BAM,V2,1,1,,,data/GUIBam.bif,0x00C0009B,160,CF484D2761FD508FE1439C59780D7DCB81892515A871D10B2155608FAFBF0961,interface/source/bam/TVRNQUL2.bam
ui-resource:bam:TVRNQUL3,TVRNQUL3,BAM,V2,1,1,,,data/GUIBam.bif,0x00C0009C,132,9A065CDD7DE41F6E44FF224B865D08C266E77BAAF430BEAACC3F54AD574404F3,interface/source/bam/TVRNQUL3.bam
ui-resource:bam:WMDAG,WMDAG,BAM,V1,1,1,,,data/GUIBam.bif,0x00C0009D,1828,95927AB435226E2766CCC80F5B0ED4482C7B84B183A950F545629C69DEE71D18,interface/source/bam/WMDAG.bam
ui-resource:bam:WPSINVSS,WPSINVSS,BAM,V1,2,1,,,data/GUIBam.bif,0x00C0009E,890,074507677629ACBF6A396036501596D7BC9DC2BC5D4F7E86B87DBFFFA2F6C101,interface/source/bam/WPSINVSS.bam
ui-resource:mos:AR1404N,AR1404N,MOS,V1,,,480,234,data/AREA140B.bif,0x0430000D,93048,A3F9BBC73F6C9107E6FD96F31AE07605D6138BD03F1159FFFB05ADE286999197,interface/source/mos/AR1404N.mos
ui-resource:mos:ARRIVE,ARRIVE,MOS,V1,,,1024,768,data/Patch2.bif,0x0BD0012D,983832,353B14906EC97A323DDB1DF5A7775CF37FC541BD20E5C7C3DBEC51DE0D3D692D,interface/source/mos/ARRIVE.mos
ui-resource:mos:BAR-FINL,BAR-FINL,MOS,V1,,,353,330,data/GUIMosc.bif,0x00900000,27833,ECC8786FBBDBD20D57DB9C5EEBDA41FEAC8D620F329679CE9F98E0A147C6FD4B,interface/source/mos/BAR-FINL.mos
ui-resource:mos:BAR-STEP,BAR-STEP,MOS,V1,,,356,330,data/GUIMosc.bif,0x00900001,27783,AE7D3B1A333ECE3D49BA91EC4815CB25AD3C1321C9D8E60C8C4F54A74757AEE0,interface/source/mos/BAR-STEP.mos
ui-resource:mos:BGDECBAR,BGDECBAR,MOS,V2,,,864,58,data/Patch2.bif,0x0BD001C0,80,C89150F8EA0B3E950568C2032943E516C310B28C6A1817687BF6547FA31A96D3,interface/source/mos/BGDECBAR.mos
ui-resource:mos:BGPADB,BGPADB,MOS,V2,,,1920,432,data/Patch2.bif,0x0BD001C2,248,6C14889ECC658C9F5823332FC0AA8063AD1BAA697E5E30B5162B8CF38BB00D9F,interface/source/mos/BGPADB.mos
ui-resource:mos:BGPADL,BGPADL,MOS,V2,,,592,768,data/Patch2.bif,0x0BD001C3,388,E4BA4EDCCFD6043043D06A821B024835C87021D71E533393A03211C5D4CAC280,interface/source/mos/BGPADL.mos
ui-resource:mos:BGPADR,BGPADR,MOS,V2,,,592,768,data/Patch2.bif,0x0BD001C4,136,B00C5E960CC7BAEEA9FB0D339D76E037993935534C9A7CC43D02F24F593974F6,interface/source/mos/BGPADR.mos
ui-resource:mos:BPEND,BPEND,MOS,V1,,,1024,768,data/Patch2.bif,0x0BD001CD,983832,7B06E0BC9E0AE1A5870AB6E856CC775B029016848BB0E263AB68F368FA636F78,interface/source/mos/BPEND.mos
ui-resource:mos:CH01AJON,CH01AJON,MOS,V2,,,1024,768,data/GUIMosc.bif,0x00900002,136,A49D12D6C47E10FE6CDC048DCE48A7C9880038F5AB12AC34D185FC73CE7F75A1,interface/source/mos/CH01AJON.mos
