asset_key,relation,dependency_resref,dependency_format,present,source_bif
ui-resource:bam:MAPICONS,texture-page,MOS0212,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0213,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0214,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0215,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0216,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0217,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0218,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0219,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0220,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0221,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0222,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0223,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0224,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0225,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0226,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0227,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0228,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0229,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0230,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0231,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0232,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0233,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0234,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0235,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0236,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0237,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0238,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0239,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0240,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0241,PVRZ,yes,data/bgee.bif
ui-resource:bam:MAPICONS,texture-page,MOS0242,PVRZ,yes,data/bgee.bif
ui-resource:bam:NUMBER2,texture-page,MOS0243,PVRZ,yes,data/bgee.bif
ui-resource:bam:NUMBER3,texture-page,MOS0243,PVRZ,yes,data/bgee.bif
ui-resource:bam:OHNCROB3,texture-page,MOS0248,PVRZ,yes,data/bgee.bif
ui-resource:bam:OHNKEY01,texture-page,MOS0249,PVRZ,yes,data/bgee.bif
ui-resource:bam:OHRCBLT3,texture-page,MOS0250,PVRZ,yes,data/bgee.bif
ui-resource:bam:OHSWREAV,texture-page,MOS0252,PVRZ,yes,data/bgee.bif
ui-resource:bam:SGRASPA,texture-page,MOS0256,PVRZ,yes,data/bgee.bif
ui-resource:bam:SGRASPB,texture-page,MOS0256,PVRZ,yes,data/bgee.bif
ui-resource:bam:SGRASPC,texture-page,MOS0256,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONAMUL,texture-page,MOS0263,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONARM,texture-page,MOS0263,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONBELT,texture-page,MOS0263,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONBOOT,texture-page,MOS0263,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONCLOK,texture-page,MOS0263,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONGLET,texture-page,MOS0264,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONHELM,texture-page,MOS0264,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONQUIV,texture-page,MOS0264,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONRING,texture-page,MOS0264,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONSHIL,texture-page,MOS0264,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONSLOT,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:STONWEAP,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:STORBAG,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:STORINN,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:STORSTOR,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:STORTIN2,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:STORTINT,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:STORTMPL,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:STORTVRN,texture-page,MOS0265,PVRZ,yes,data/bgee.bif
ui-resource:bam:TVRNQUL0,texture-page,MOS0266,PVRZ,yes,data/bgee.bif
ui-resource:bam:TVRNQUL1,texture-page,MOS0266,PVRZ,yes,data/bgee.bif
ui-resource:bam:TVRNQUL2,texture-page,MOS0266,PVRZ,yes,data/bgee.bif
ui-resource:bam:TVRNQUL2,texture-page,MOS0267,PVRZ,yes,data/bgee.bif
ui-resource:bam:TVRNQUL3,texture-page,MOS0267,PVRZ,yes,data/bgee.bif
ui-resource:mos:BGDECBAR,texture-page,MOS0015,PVRZ,yes,data/bgee.bif
ui-resource:mos:BGPADB,texture-page,MOS0015,PVRZ,yes,data/bgee.bif
ui-resource:mos:BGPADB,texture-page,MOS0016,PVRZ,yes,data/bgee.bif
ui-resource:mos:BGPADL,texture-page,MOS0016,PVRZ,yes,data/bgee.bif
ui-resource:mos:BGPADL,texture-page,MOS0017,PVRZ,yes,data/bgee.bif
ui-resource:mos:BGPADR,texture-page,MOS0017,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH01AJON,texture-page,MOS0268,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH01AJON,texture-page,MOS0269,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH02AGLN,texture-page,MOS0269,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH02AGLN,texture-page,MOS0270,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH03AMON,texture-page,MOS0270,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH03AMON,texture-page,MOS0271,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH04ASHP,texture-page,MOS0271,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH04BGTH,texture-page,MOS0271,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH04BGTH,texture-page,MOS0272,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH04CSAH,texture-page,MOS0272,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH04CSAH,texture-page,MOS0273,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH05AUND,texture-page,MOS0273,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH05AUND,texture-page,MOS0274,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH06ADRW,texture-page,MOS0274,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH06ADRW,texture-page,MOS0275,PVRZ,yes,data/bgee.bif
ui-resource:mos:CH07ASUL,texture-page,MOS0275,PVRZ,yes,data/bgee.bif
ui-resource:mos:CHPTAMKE,texture-page,MOS0275,PVRZ,yes,data/bgee.bif
ui-resource:mos:CHPTAMKE,texture-page,MOS0276,PVRZ,yes,data/Patch25.bif
ui-resource:mos:CHPTMANA,texture-page,MOS0276,PVRZ,yes,data/Patch25.bif
ui-resource:mos:CHPTMANA,texture-page,MOS0277,PVRZ,yes,data/Patch25.bif
ui-resource:mos:CHPTODRE,texture-page,MOS0277,PVRZ,yes,data/Patch25.bif
ui-resource:mos:CHPTODRE,texture-page,MOS0278,PVRZ,yes,data/Patch25.bif
ui-resource:mos:CHPTSARA,texture-page,MOS0278,PVRZ,yes,data/Patch25.bif
ui-resource:mos:COLOR,texture-page,MOS0080,PVRZ,yes,data/bgee.bif
ui-resource:mos:COLOR,texture-page,MOS0081,PVRZ,yes,data/bgee.bif
ui-resource:mos:COLORI,texture-page,MOS0081,PVRZ,yes,data/bgee.bif
ui-resource:mos:COLORR,texture-page,MOS0081,PVRZ,yes,data/bgee.bif
ui-resource:mos:COLORR,texture-page,MOS0082,PVRZ,yes,data/bgee.bif
ui-resource:mos:DLGDIVI,texture-page,MOS0103,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMPCARBB,texture-page,MOS0105,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMPCARBB,texture-page,MOS0106,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMPCARBD,texture-page,MOS0106,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMPCARBD,texture-page,MOS0107,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMPPARBE,texture-page,MOS0279,PVRZ,yes,data/Patch25.bif
ui-resource:mos:GMPWMSG0,texture-page,MOS0107,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMWMSGA0,texture-page,MOS0107,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMWMSGA9,texture-page,MOS0107,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMWMSGB0,texture-page,MOS0107,PVRZ,yes,data/bgee.bif
ui-resource:mos:GMWMSGB0,texture-page,MOS0108,PVRZ,yes,data/bgee.bif
ui-resource:mos:GU10BKLS,texture-page,MOS0109,PVRZ,yes,data/bgee.bif
ui-resource:mos:GU10BKMD,texture-page,MOS0109,PVRZ,yes,data/bgee.bif
ui-resource:mos:GU10BKRS,texture-page,MOS0109,PVRZ,yes,data/bgee.bif
ui-resource:mos:GU10BKRS,texture-page,MOS0110,PVRZ,yes,data/bgee.bif
ui-resource:mos:GU3MPB,texture-page,MOS0110,PVRZ,yes,data/bgee.bif
ui-resource:mos:GU3MPB,texture-page,MOS0111,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUDEATH0,texture-page,MOS0111,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIAPB,texture-page,MOS0111,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIAPB,texture-page,MOS0112,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUIAPBR,texture-page,MOS0112,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICGB,texture-page,MOS0113,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICGB,texture-page,MOS0114,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICGPR,texture-page,MOS0114,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICGPR,texture-page,MOS0115,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICHISD,texture-page,MOS0115,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICHISD,texture-page,MOS0116,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICHISE,texture-page,MOS0116,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICONN1,texture-page,MOS0118,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICONN1,texture-page,MOS0119,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICONNB,texture-page,MOS0119,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICONNB,texture-page,MOS0120,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICONTB,texture-page,MOS0120,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICONTB,texture-page,MOS0121,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICP,texture-page,MOS0121,PVRZ,yes,data/bgee.bif
ui-resource:mos:GUICP,texture-page,MOS0122,PVRZ,yes,data/bgee.bif
