bam_resref,format,frames,max_frame_width,max_frame_height,occurrences,areas,area_ids,external_palette_occurrences,external_palette_resrefs,relative_path,sha256
AM0803A,BAM V1,7,139,96,2,2,AR0803;AR0809,0,,ressources/AM0803A,47411bb8fe2514bdc1f5d6148a9ce7cf2aa2f33fc2e009655ba4cd6df21114c4
AM0803B,BAM V1,7,112,64,2,2,AR0803;AR0809,0,,ressources/AM0803B,13175980ff16b79ed9e597ee1a60adf0fb5fce601331347aef9bcc4bb3112f55
AM0803C,BAM V1,7,94,80,2,2,AR0803;AR0809,0,,ressources/AM0803C,394f637fa612687f835cf908508e47dae82215d12f8282945e47f342f4a5bbec
AM0803D,BAM V1,7,96,30,2,2,AR0803;AR0809,0,,ressources/AM0803D,a62fbe658a70803c984d41f7a582b29d85cfdbfbd12d650b5a7876fa684dc998
AM0803E,BAM V1,7,84,71,2,2,AR0803;AR0809,0,,ressources/AM0803E,8e57077ab2e618515ff8f83b6c48d275cc08143efc18bb94a0c327a759001118
AM0900DM,BAM V1,20,249,185,2,1,AR0900,0,,ressources/AM0900DM,cb927922081be7b22b2e0f3d9c34561cca8f56ad1cb702fb64769f67c83695b9
AM0902L,BAM V1,32,129,159,1,1,AR0902,0,,ressources/AM0902L,0c34eda42c06cfa2054ff7a0f34306b9dbb1fa9b8bfe6b2808c8f7649195db09
AM1001A,BAM V1,7,212,149,5,5,AR0905;AR1001;AR1006;AR1007;AR1009,0,,ressources/AM1001A,b8e1163ac431f3280eb928a9480747db46fd64585ca4836c3d117cf92c2e8601
AM1003A,BAM V1,7,122,93,4,4,AR0506;AR1003;AR2011;AR5010,0,,ressources/AM1003A,8585efff658f6567b54eced0d5572e899058f05fd3a39bcd84c426630ce40e25
AM1004A,BAM V1,7,171,149,3,3,AR1004;AR1601;AR2012,0,,ressources/AM1004A,7595a7e9795d5d9533f1a8e0030f164cebbaf496a06aa2e954ae1fe3d521cd1c
AM1008B,BAM V1,7,53,39,1,1,AR1008,0,,ressources/AM1008B,83e576ad6a2931544ae184c774b10a35d388f92e0d6a9863b93b5e582a9e6ad1
AM1008BL,BAM V1,8,102,145,1,1,AR1008,0,,ressources/AM1008BL,de285ad6d2e11d2ba63ad5d4db9b84a0357df2cde9d015ddc8857d79bae02af9
AM1101A,BAM V1,9,240,177,1,1,AR1101,0,,ressources/AM1101A,9e155d3a99fbff2efd0bedf11da00f48132e814a6211090fea5357c98095248a
AM1104A,BAM V1,9,75,50,1,1,AR1103,0,,ressources/AM1104A,847e14da389b58a26078a57fa5a55032fbf01604eb63d76bcd0bd3b9d317d045
AM1104B,BAM V1,9,95,103,1,1,AR1104,0,,ressources/AM1104B,26dc6f02a90f4c3547dda0af0681d68a938f7c71c2439aef3d24869968e7e359
AM1400A,BAM V1,7,166,133,1,1,AR1400,0,,ressources/AM1400A,c3ce16ab92a15965137ac23955c2086bb0e8c215bd7329f448f2ff56fa7c2cbf
AM1400N,BAM V1,7,166,133,1,1,AR1400,0,,ressources/AM1400N,af2ac5c4eb08206117de04197915fd0d166e07923fe113f5e9a2ad7176b212ed
AM1512PA,BAM V1,5,54,109,1,1,AR1512,0,,ressources/AM1512PA,6dfe6ebef0ac1799be207787ac149a165174f3874dd291772e54f4cf1d4427bc
AM1516PT,BAM V1,6,66,100,1,1,AR1516,0,,ressources/AM1516PT,3a4415bd9ee62402ef9741139991ef94a3c01b1be0a1dfbe38a51ef1f80608de
AM2000A,BAM V1,28,192,149,1,1,AR2000,0,,ressources/AM2000A,c0f2adc98e82cd8e6077a73fb0bc7a908ecd194a769e56e599cf836c085aea3e
AM2000B,BAM V1,28,192,149,1,1,AR2000,0,,ressources/AM2000B,a98387e86d2c6bb95d68750b1bdab8f910334d851ff63f591dfd7825b5977890
AM2008A,BAM V1,15,144,135,3,3,AR1010;AR2008;OH5120,0,,ressources/AM2008A,c35744d28b85b8abb7b9e6629d647654b3820ce692ee59ee2e10ef83fbedbef8
AM2100PA,BAM V1,7,100,148,1,1,AR2100,0,,ressources/AM2100PA,0346340d0bf54e0fca123a826317674822982ba239579e7dde530ac8519b57a1
AM2100PB,BAM V1,7,92,134,1,1,AR2100,0,,ressources/AM2100PB,e8170c1e84bfb21470c942128f1cb1889f0f6a9fa0cff389bd9ba94eef5cb181
