asset_key,asset_directory,spatial_run,spatial_state,interpolation_run,interpolation_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
effects:bam:EXPLODE,effects/ressources/EXPLODE,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FALLMIST,effects/ressources/FALLMIST,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FDAWNA,effects/ressources/FDAWNA,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FDAWNX,effects/ressources/FDAWNX,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIM1YEL,effects/ressources/FIM1YEL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIM2YEL,effects/ressources/FIM2YEL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_1B,effects/ressources/FIRE_1B,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_1C,effects/ressources/FIRE_1C,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_1GR,effects/ressources/FIRE_1GR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_1GS,effects/ressources/FIRE_1GS,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_2,effects/ressources/FIRE_2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_2A,effects/ressources/FIRE_2A,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_4BL,effects/ressources/FIRE_4BL,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_4G2,effects/ressources/FIRE_4G2,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIRE_4GR,effects/ressources/FIRE_4GR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIREBAT,effects/ressources/FIREBAT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIREBGRR,effects/ressources/FIREBGRR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIREBGRT,effects/ressources/FIREBGRT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIREBGRX,effects/ressources/FIREBGRX,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIREBICR,effects/ressources/FIREBICR,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIREBICT,effects/ressources/FIREBICT,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
effects:bam:FIREBICX,effects/ressources/FIREBICX,,not-started,,not-started,,not-assessed,,not-installed,,not-evaluated,,
