asset_key,domain,asset_type,resref,bam_container,bam_version,frame_count,cycle_count,source_bif,locator,source_size,source_sha256,extracted_path
supplemental:sprites:object-animation-bam:WPMH4A3E,sprites,object-animation-bam,WPMH4A3E,BAMC,V1,30,8,data/OBJAnim.bif,0x00200216,4432,71E8EF6E643B2950B14C4C8FB20A43F140FDCF17624673000C96234F6F14662A,graphics/source/sprites/WPMH4A3E.bam
supplemental:sprites:object-animation-bam:WPMH4A4,sprites,object-animation-bam,WPMH4A4,BAMC,V1,50,8,data/OBJAnim.bif,0x00200217,7030,0ED62412DB19D946AFFEE41FB5742C2574ABEE84E04326659D379E39ACB87D22,graphics/source/sprites/WPMH4A4.bam
supplemental:sprites:object-animation-bam:WPMH4A4E,sprites,object-animation-bam,WPMH4A4E,BAMC,V1,30,8,data/OBJAnim.bif,0x00200218,4355,E407A7185FA7B0CB164F0F6A4C26047BC431E414D659666AA879DF238424F287,graphics/source/sprites/WPMH4A4E.bam
supplemental:sprites:object-animation-bam:WPMH4A5,sprites,object-animation-bam,WPMH4A5,BAMC,V1,30,8,data/OBJAnim.bif,0x00200219,4549,92E2573B3E4381EA0821BBBE087CCC9030D80558C5ED9715A96B0993DEE4A9D2,graphics/source/sprites/WPMH4A5.bam
supplemental:sprites:object-animation-bam:WPMH4A5E,sprites,object-animation-bam,WPMH4A5E,BAMC,V1,18,8,data/OBJAnim.bif,0x0020021A,2961,DBBA68DAC4AA466130CE3D25A4ECD6970E042D438A1F65D6C6AA6B05973FE7D4,graphics/source/sprites/WPMH4A5E.bam
supplemental:sprites:object-animation-bam:WPMH4A6,sprites,object-animation-bam,WPMH4A6,BAMC,V1,40,8,data/OBJAnim.bif,0x0020021B,5934,1907CD7F2C9633ACBF0488557DBCFFB1F4ADEBCD7BF437B5B39DE59D23EF4C35,graphics/source/sprites/WPMH4A6.bam
supplemental:sprites:object-animation-bam:WPMH4A6E,sprites,object-animation-bam,WPMH4A6E,BAMC,V1,24,8,data/OBJAnim.bif,0x0020021C,3734,1BCEF668C914DCC4D8EFEC0C184FA362D28A419C7BE20741D35B6E597937DE7B,graphics/source/sprites/WPMH4A6E.bam
supplemental:sprites:object-animation-bam:WPMH4CA,sprites,object-animation-bam,WPMH4CA,BAMC,V1,50,62,data/OBJAnim.bif,0x0020021D,7696,33D5F57F81A089578FAB051C1DFE751EED0895FACFFDCED973B97286D6F1C2C9,graphics/source/sprites/WPMH4CA.bam
supplemental:sprites:object-animation-bam:WPMH4CAE,sprites,object-animation-bam,WPMH4CAE,BAMC,V1,30,64,data/OBJAnim.bif,0x0020021E,4790,E2A0676DAB3163AB7D0E855E401EA1A5DBC3A08BE7EE99960CAA17C16E88ABCE,graphics/source/sprites/WPMH4CAE.bam
supplemental:sprites:object-animation-bam:WPMH4G1,sprites,object-animation-bam,WPMH4G1,BAMC,V1,180,72,data/OBJAnim.bif,0x0020021F,22585,27D5879CB53A80BD8A92E4D5B9C56BB6E99B1AA438056889BF4E423229A72089,graphics/source/sprites/WPMH4G1.bam
supplemental:sprites:object-animation-bam:WPMH4G1E,sprites,object-animation-bam,WPMH4G1E,BAMC,V1,108,72,data/OBJAnim.bif,0x00200220,13345,C67CD96550BF5F9D9969C833541BA40B24B87205AA664CE2F7DABBB378FC7508,graphics/source/sprites/WPMH4G1E.bam
supplemental:sprites:paperdoll-animation-bam:WPMH4INV,sprites,paperdoll-animation-bam,WPMH4INV,BAM,V1,2,1,data/PaperDol.bif,0x062003D5,1789,51D88DEDF1E5D4754E15775B7F9166FEE8E4869708E3B48111932D6754A9DE6F,graphics/source/sprites/WPMH4INV.bam
supplemental:sprites:object-animation-bam:WPMH4SA,sprites,object-animation-bam,WPMH4SA,BAMC,V1,20,8,data/OBJAnim.bif,0x00200221,3436,B6AEB59FAD227D1FB7568C827CAACA4BC74CE5BAC4AB886B66540CE889C18E47,graphics/source/sprites/WPMH4SA.bam
supplemental:sprites:object-animation-bam:WPMH4SAE,sprites,object-animation-bam,WPMH4SAE,BAMC,V1,12,8,data/OBJAnim.bif,0x00200222,2304,9CF136847B4534A0FA7066CDFA06115BBD4731EAD216D560542861A2BDB9AF8A,graphics/source/sprites/WPMH4SAE.bam
supplemental:sprites:object-animation-bam:WPMH4SX,sprites,object-animation-bam,WPMH4SX,BAMC,V1,15,8,data/OBJAnim.bif,0x00200223,2743,F2A17F55B7EC2AD3C9E8AD14B0F88D481222C2A824B7BD6878497064F8FA9D50,graphics/source/sprites/WPMH4SX.bam
supplemental:sprites:object-animation-bam:WPMH4SXE,sprites,object-animation-bam,WPMH4SXE,BAMC,V1,9,8,data/OBJAnim.bif,0x00200224,1892,191D91DA55B7B62D635FDCF4134E0D58656DB466F6E7F21F4DC442645C137984,graphics/source/sprites/WPMH4SXE.bam
supplemental:sprites:object-animation-bam:WPMH4W2,sprites,object-animation-bam,WPMH4W2,BAMC,V1,50,8,data/OBJAnim.bif,0x00200225,6304,1067DD41488BC334333511F42C45CF656A83B494C8AE1C60C2AF8DE953E392A2,graphics/source/sprites/WPMH4W2.bam
supplemental:sprites:object-animation-bam:WPMH4W2E,sprites,object-animation-bam,WPMH4W2E,BAMC,V1,30,8,data/OBJAnim.bif,0x00200226,3957,266C4D591B40FD928F0C591D039F1B3F3EBCC4A4ADE5194D01C5D72F2A036AE2,graphics/source/sprites/WPMH4W2E.bam
supplemental:sprites:object-animation-bam:WPMH5A1,sprites,object-animation-bam,WPMH5A1,BAMC,V1,50,16,data/OBJAnim.bif,0x00200227,5276,F9B8C4E33BEB100DB0A95ACCB3ED625644BF7B99A0BA6976C9DD21CA3F1C7AF9,graphics/source/sprites/WPMH5A1.bam
supplemental:sprites:object-animation-bam:WPMH5A1E,sprites,object-animation-bam,WPMH5A1E,BAMC,V1,30,16,data/OBJAnim.bif,0x00200228,3537,264A90D12CD95AF073FB131C11F0BE9852203F7C89F10FDF04F73D445B97EF77,graphics/source/sprites/WPMH5A1E.bam
supplemental:sprites:object-animation-bam:WPMH5A2,sprites,object-animation-bam,WPMH5A2,BAMC,V1,50,8,data/OBJAnim.bif,0x00200229,5196,6F2B94A213556C0D4982B4E486FBE5412F40B44DF768D592FF053530D19B327D,graphics/source/sprites/WPMH5A2.bam
supplemental:sprites:object-animation-bam:WPMH5A2E,sprites,object-animation-bam,WPMH5A2E,BAMC,V1,30,8,data/OBJAnim.bif,0x0020022A,3379,0A4D6746F40BEA0C5312AB96D5A6A24E3BF4F60D72F5FF1DE852C8D05A4C9ACE,graphics/source/sprites/WPMH5A2E.bam
supplemental:sprites:object-animation-bam:WPMH5A3,sprites,object-animation-bam,WPMH5A3,BAMC,V1,50,8,data/OBJAnim.bif,0x0020022B,5329,BE210BFE33A20586C6DE74D18F2A6BE4111D8D7779E058301BAD21C00C39B595,graphics/source/sprites/WPMH5A3.bam
supplemental:sprites:object-animation-bam:WPMH5A3E,sprites,object-animation-bam,WPMH5A3E,BAMC,V1,30,8,data/OBJAnim.bif,0x0020022C,3384,6D0698FB66DB612C64551498C315016C8BB5C0D8FE1CE4E123D50D394FA23AA2,graphics/source/sprites/WPMH5A3E.bam
supplemental:sprites:object-animation-bam:WPMH5A4,sprites,object-animation-bam,WPMH5A4,BAMC,V1,50,8,data/OBJAnim.bif,0x0020022D,5226,2E4363E6FB3AEDD12998EFDA1F803433541C82D246FBD0C33FC747A910905C7B,graphics/source/sprites/WPMH5A4.bam
supplemental:sprites:object-animation-bam:WPMH5A4E,sprites,object-animation-bam,WPMH5A4E,BAMC,V1,30,8,data/OBJAnim.bif,0x0020022E,3290,B358FE23DC0C0AD67FA46054A42966BECCBC92353554F927C7D5314A88F3826F,graphics/source/sprites/WPMH5A4E.bam
supplemental:sprites:object-animation-bam:WPMH5A5,sprites,object-animation-bam,WPMH5A5,BAMC,V1,30,8,data/OBJAnim.bif,0x0020022F,3352,0DFF9BFEDAFDF7A0D1B5E539D3D7FB670D5BE1E107F8CD9FA30AC29FCDA9A04F,graphics/source/sprites/WPMH5A5.bam
supplemental:sprites:object-animation-bam:WPMH5A5E,sprites,object-animation-bam,WPMH5A5E,BAMC,V1,18,8,data/OBJAnim.bif,0x00200230,2242,0125EFD917E2A2101D9C6D693A7EEE7961D3DE8AC6D0C8B09AC11EAC5ADB7414,graphics/source/sprites/WPMH5A5E.bam
supplemental:sprites:object-animation-bam:WPMH5A6,sprites,object-animation-bam,WPMH5A6,BAMC,V1,40,8,data/OBJAnim.bif,0x00200231,4334,18091E74E389A426472F7001AACB31F3D9A3C5A7936180622BBE030A4BEB1E19,graphics/source/sprites/WPMH5A6.bam
supplemental:sprites:object-animation-bam:WPMH5A6E,sprites,object-animation-bam,WPMH5A6E,BAMC,V1,24,8,data/OBJAnim.bif,0x00200232,2825,C45D8AC3B9524F4BF246525D5DD60B42BF183F6DF178C7151AC44219F394EF96,graphics/source/sprites/WPMH5A6E.bam
supplemental:sprites:object-animation-bam:WPMH5CA,sprites,object-animation-bam,WPMH5CA,BAMC,V1,50,64,data/OBJAnim.bif,0x00200233,5622,F3DE50605659E7974F9A2E5EFFC99E57E03D69A25344F296FB60A3EB711D1813,graphics/source/sprites/WPMH5CA.bam
supplemental:sprites:object-animation-bam:WPMH5CAE,sprites,object-animation-bam,WPMH5CAE,BAMC,V1,30,64,data/OBJAnim.bif,0x00200234,3599,BBE4BD87440639AAA4F61163FCCA88560F85ED10B794E8733C6532650E7CBE81,graphics/source/sprites/WPMH5CAE.bam
supplemental:sprites:object-animation-bam:WPMH5G1,sprites,object-animation-bam,WPMH5G1,BAMC,V1,180,72,data/OBJAnim.bif,0x00200235,15290,AB71B4F1F1B7A8E7428D4DA6C7BFFC24C90E2104C2DBBBF970FA3BCA92BBC6A0,graphics/source/sprites/WPMH5G1.bam
supplemental:sprites:object-animation-bam:WPMH5G1E,sprites,object-animation-bam,WPMH5G1E,BAMC,V1,108,72,data/OBJAnim.bif,0x00200236,9477,CBF18F80D1151D9284214332B90F090436ED3FF15E79B69DA6DDA166C4503CF5,graphics/source/sprites/WPMH5G1E.bam
