asset_key,relation,dependency_resref,dependency_format,present,source_bif,locator,source_size,source_sha256,extracted_path
icon:CDAGG19,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDART01,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDART02,texture-page,MOS0040,PVRZ,yes,data/bgee.bif,0x0B000074,45700,4195C817156FE445FB7B7AD63E38724A7768BCF6FA02E1D3E2DE379AAA3E5660,icons/dependencies/pvrz/MOS0040.pvrz
icon:CDART03,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDART04,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDART05,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDART06,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDBLUN01,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDBOLT01,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
icon:CDBOLT02,texture-page,MOS0041,PVRZ,yes,data/bgee.bif,0x0B000075,55632,AE68D4F67936035166D41D537793EE0FE851D116ADC7ABDB29E0A3632FFC52F1,icons/dependencies/pvrz/MOS0041.pvrz
