asset_key,asset_id,asset_directory,upscale_run,upscale_state,selected_run,qa_state,qa_evidence,installation_state,installation_receipt,release_state,release_candidate,notes
icon:CBRAC14,icons:icon-cbrac14,icons/ressources/CBRAC14,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC15,icons:icon-cbrac15,icons/ressources/CBRAC15,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC16,icons:icon-cbrac16,icons/ressources/CBRAC16,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC17,icons:icon-cbrac17,icons/ressources/CBRAC17,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC18,icons:icon-cbrac18,icons/ressources/CBRAC18,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC19,icons:icon-cbrac19,icons/ressources/CBRAC19,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBRAC20,icons:icon-cbrac20,icons/ressources/CBRAC20,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBULL01,icons:icon-cbull01,icons/ressources/CBULL01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBULL02,icons:icon-cbull02,icons/ressources/CBULL02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBULL03,icons:icon-cbull03,icons/ressources/CBULL03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CBULL04,icons:icon-cbull04,icons/ressources/CBULL04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN01,icons:icon-cchan01,icons/ressources/CCHAN01,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN02,icons:icon-cchan02,icons/ressources/CCHAN02,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN03,icons:icon-cchan03,icons/ressources/CCHAN03,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN04,icons:icon-cchan04,icons/ressources/CCHAN04,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN05,icons:icon-cchan05,icons/ressources/CCHAN05,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN06,icons:icon-cchan06,icons/ressources/CCHAN06,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN08,icons:icon-cchan08,icons/ressources/CCHAN08,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN09,icons:icon-cchan09,icons/ressources/CCHAN09,,not-started,,not-assessed,,not-installed,,not-evaluated,,
icon:CCHAN10,icons:icon-cchan10,icons/ressources/CCHAN10,,not-started,,not-assessed,,not-installed,,not-evaluated,,
