asset_key,resref,frame_index,width,height,center_x,center_y,block_count
icon:CMISC5F,CMISC5F,0,128,78,0,0,5
icon:CMISC5H,CMISC5H,0,114,143,0,0,5
icon:CMISC5I,CMISC5I,0,92,135,0,0,7
icon:CMISC5J,CMISC5J,0,96,137,0,0,6
icon:CMISC5K,CMISC5K,0,127,122,0,0,4
icon:CMISC5L,CMISC5L,0,141,174,0,0,5
icon:CMISC5M,CMISC5M,0,153,174,0,0,8
icon:CMISC5N,CMISC5N,0,102,105,0,0,6
icon:CMISC5O,CMISC5O,0,75,214,0,0,7
icon:CMISC5P,CMISC5P,0,91,131,0,0,3
icon:CMISC5Q,CMISC5Q,0,77,115,0,0,5
icon:CMISC5R,CMISC5R,0,82,76,0,0,4
icon:CMISC5S,CMISC5S,0,128,135,0,0,6
icon:CMISC5T,CMISC5T,0,129,168,0,0,7
icon:CMISC5U,CMISC5U,0,132,93,0,0,3
icon:CMISC5V,CMISC5V,0,104,205,0,0,3
icon:CMISC5W,CMISC5W,0,70,171,0,0,7
icon:CMISC5X,CMISC5X,0,69,151,0,0,6
icon:CMISC5Y,CMISC5Y,0,92,163,0,0,7
icon:CMISC60,CMISC60,0,231,159,0,0,9
icon:CMISC61,CMISC61,0,56,193,0,0,4
icon:CMISC62,CMISC62,0,128,68,0,0,2
icon:CMISC63,CMISC63,0,112,117,0,0,4
icon:CMISC64,CMISC64,0,126,113,0,0,6
icon:CMISC69,CMISC69,0,131,128,0,0,7
icon:CMISC6A,CMISC6A,0,89,154,0,0,6
icon:CMISC6B,CMISC6B,0,99,122,0,0,4
icon:CMISC6C,CMISC6C,0,70,130,0,0,7
icon:CMISC6D,CMISC6D,0,82,139,0,0,5
icon:CMISC6E,CMISC6E,0,131,149,0,0,4
icon:CMISC6F,CMISC6F,0,141,127,0,0,6
icon:CMISC6G,CMISC6G,0,111,162,0,0,8
icon:CMISC6H,CMISC6H,0,110,180,0,0,7
icon:CMISC6I,CMISC6I,0,94,168,0,0,9
icon:CMISC6J,CMISC6J,0,130,169,0,0,7
icon:CMISC6K,CMISC6K,0,126,151,0,0,7
icon:CMISC6L,CMISC6L,0,106,174,0,0,6
icon:CMISC6M,CMISC6M,0,131,144,0,0,3
icon:CMISC6N,CMISC6N,0,67,66,0,0,4
icon:CMISC6O,CMISC6O,0,63,63,0,0,2
icon:CMISC6P,CMISC6P,0,102,112,0,0,6
icon:CMISC6Q,CMISC6Q,0,160,184,0,0,8
icon:CMISC6R,CMISC6R,0,149,166,0,0,13
icon:CMISC6S,CMISC6S,0,100,146,0,0,6
icon:CMISC6T,CMISC6T,0,117,115,0,0,5
icon:CMISC6U,CMISC6U,0,121,155,0,0,7
icon:CMISC6V,CMISC6V,0,112,141,0,0,6
icon:CMISC6W,CMISC6W,0,135,148,0,0,7
icon:CMISC6X,CMISC6X,0,107,126,0,0,6
icon:CMISC6Y,CMISC6Y,0,68,143,0,0,4
icon:CMISC70,CMISC70,0,78,167,0,0,7
